ФИО,Приказ,E-mail,Телефон,"Форма обучения","Баллы ЕГЭ",Статус,Курс
"Шарапов Игнатий Авдеевич","от 21.10.2017 № 2501-к",hishoo@rambler.ru,9176436844,внебюджет,238,Переведён,3
"Федосеева Татьяна Олеговна","от 30.10.2017 № 2538-к",choheethee@sexnarod.ru,9500475497,внебюджет,239,Переведён,3
"Дмитриев Кондрат Дмитрьевич","от 15.6.2016 № 2538-к",myachjiqujo@langoo.com,9210727914,внебюджет,163,Отчислен,3
"Бобылёв Владимир Брониславович","от 15.4.2016 № 2500-к",lyohja@mail.ru,9043113333,бюджет,181,Зачислен,1
"Носков Гордей Федосеевич","от 27.9.2017 № 2701-к",cyomur@google.com,9264913850,внебюджет,213,Выпустился,5
"Мартынов Донат Витальевич","от 25.2.2017 № 2500-к",byzhyepi@softhome.com,9210002557,бюджет,166,Отчислен,2
"Симонова Зинаида Никитевна","от 2.11.2017 № 2500-к",xaehyjaep@orc.ru,9288167560,бюджет,165,Переведён,4
"Назаров Владимир Антонинович","от 15.3.2017 № 2501-к",schyonjozhy@exn.ru,9852550935,бюджет,243,Переведён,4
"Цветков Валерий Улебович","от 8.5.2016 № 2500-к",quiokia@rumail.ru,9273042049,бюджет,193,Отчислен,2
"Исакова Екатерина Викторовна","от 4.3.2016 № 2500-к",coosjath@yahoo.com,9123344140,внебюджет,176,Зачислен,1
"Евдокимова Венера Якуновна","от 27.3.2017 № 2501-к",cyetyopu@sexnarod.ru,9093857236,внебюджет,213,Зачислен,1
"Нестеров Донат Глебович","от 28.5.2017 № 2701-к",zhyshosji@usa.net,9248921924,внебюджет,247,Отчислен,4
"Колесников Яков Антонинович","от 18.7.2017 № 2500-к",shaesisig@rin.ru,9502298239,бюджет,156,Зачислен,1
"Шарапов Роман Николаевич","от 11.11.2016 № 2500-к",ziushju@adelite.com,9004559706,бюджет,206,Переведён,3
"Козлов Артём Германнович","от 19.9.2016 № 2701-к",pyithigja@rol.ru,9637489840,внебюджет,222,Переведён,3
"Фомичёва Мария Агафоновна","от 5.8.2017 № 2501-к",fyequuquout@lycos.com,9235410728,бюджет,241,Выпустился,5
"Медведев Макар Варламович","от 20.11.2016 № 2701-к",renjajji@mail.ru,9226423973,внебюджет,205,Выпустился,5
"Самсонова Нинель Серапионовна","от 23.5.2016 № 2538-к",seechaesch@usa.net,9374219488,бюджет,232,Отчислен,2
"Новиков Бронислав Гордеевич","от 21.6.2017 № 2538-к",hoozjim@rumail.ru,9196885621,бюджет,224,Выпустился,5
"Буров Фрол Кимович","от 30.1.2016 № 2501-к",jyetyalya@yahoo.com,9002631605,бюджет,230,Переведён,3
"Борисов Владислав Кимович","от 30.6.2017 № 2501-к",heeboo@netaddress.com,9168160368,бюджет,228,Зачислен,1
"Яковлева Майя Валерьяновна","от 14.8.2016 № 2701-к",quiemyih@netbox.com,9625681097,внебюджет,184,Отчислен,2
"Лукин Дамир Валентинович","от 1.1.2016 № 2701-к",hyeschyan@nextmail.ru,9383121230,бюджет,213,Отчислен,2
"Прохоров Андрей Альбертович","от 5.5.2016 № 2538-к",rioxiam@rumail.ru,9852840158,бюджет,188,Зачислен,1
"Щербаков Артём Лукьянович","от 8.9.2016 № 2701-к",goola@newmail.ru,9287659909,внебюджет,175,Зачислен,1
"Кононов Авдей Макарович","от 14.1.2016 № 2500-к",sjohoozia@hotbox.com,9110521352,внебюджет,158,Зачислен,1
"Лаврентьев Григорий Дамирович","от 29.5.2017 № 2701-к",schjudjosyc@langoo.com,9821593033,внебюджет,152,Зачислен,1
"Петров Валерьян Николаевич","от 27.12.2017 № 2701-к",giesy@sexnarod.ru,9268817646,бюджет,236,Отчислен,2
"Князев Владлен Викторович","от 7.4.2017 № 2501-к",jjifaequyo@yandex.ru,9241083096,внебюджет,153,Переведён,2
"Осипов Арсений Валентинович","от 11.3.2016 № 2538-к",lyamaed@list.ru,9245772801,бюджет,152,Зачислен,1
"Брагин Егор Святославович","от 30.7.2016 № 2501-к",fiutjanion@yandex.ru,9875424090,внебюджет,184,Отчислен,4
"Казаков Протасий Алексеевич","от 19.10.2017 № 2538-к",shjopa@netman.ru,9787146836,внебюджет,204,Переведён,4
"Логинова Фаина Онисимовна","от 14.6.2017 № 2501-к",fousyi@orc.ru,9119683270,внебюджет,156,Переведён,3
"Евсеева Анна Валерьевна","от 18.4.2016 № 2701-к",naedeedyoj@adelite.com,9282170880,бюджет,242,Отчислен,2
"Шашков Агафон Парфеньевич","от 21.11.2017 № 2701-к",heexaeschio@pop3.ru,9604507886,внебюджет,153,Выпустился,5
"Горшкова Кира Вадимовна","от 5.8.2017 № 2538-к",soschae@google.com,9214143998,внебюджет,232,Выпустился,5
"Андреева Агафья Степановна","от 20.9.2016 № 2501-к",cozhyih@mnogo.ru,9513263256,бюджет,186,Переведён,4
"Назарова Анжела Демьяновна","от 9.4.2016 № 2701-к",xyipyexyu@newmail.ru,9281931945,внебюджет,222,Выпустился,5
"Крылов Федот Авдеевич","от 26.12.2016 № 2501-к",zhaeschiu@smtp.ru,9644799317,бюджет,190,Отчислен,3
"Панфилова Ия Кондратовна","от 22.2.2016 № 2500-к",chozyizyt@rol.ru,9145441760,бюджет,242,Отчислен,3
"Владимирова Агафья Викторовна","от 16.4.2016 № 2501-к",thjohaejysh@netman.ru,9505184452,внебюджет,157,Зачислен,1
"Белякова Синклитикия Антониновна","от 21.11.2017 № 2701-к",djuk@netaddress.com,9044077740,внебюджет,165,Зачислен,1
"Костин Юлиан Ильяович","от 18.9.2016 № 2701-к",jaekya@lycos.com,9521317005,бюджет,183,Отчислен,3
"Шестаков Лукий Лукьевич","от 7.4.2016 № 2500-к",nasjopyo@mnogo.ru,9067272780,внебюджет,150,Зачислен,1
"Игнатьев Дамир Алексеевич","от 15.6.2016 № 2538-к",tulef@adelite.com,9613469011,бюджет,201,Выпустился,5
"Суханова Екатерина Владимировна","от 11.11.2016 № 2701-к",ljedae@netbox.com,9181303777,бюджет,249,Отчислен,3
"Лукина Милица Владленовна","от 29.5.2017 № 2500-к",houchju@infobiz.com,9825610031,бюджет,219,Отчислен,2
"Афанасьев Мстислав Глебович","от 10.10.2017 № 2538-к",shuzjovjej@nettaxi.com,9062305198,внебюджет,249,Выпустился,5
"Бирюкова Анжелика Вячеславовна","от 9.3.2017 № 2500-к",sypyub_1987@xaker.ru,9859906864,внебюджет,226,Переведён,3
"Якушев Виталий Ильяович","от 19.10.2016 № 2501-к",gjechae@newmail.ru,9634270007,бюджет,181,Зачислен,1
"Тихонова Нонна Кимовна","от 1.12.2017 № 2501-к",seryasch@adelite.com,9218475215,внебюджет,231,Отчислен,3
"Харитонов Пётр Фролович","от 19.5.2017 № 2701-к",djuxiu@netbox.com,9064982298,внебюджет,194,Зачислен,1
"Устинов Альвиан Федосеевич","от 19.2.2016 № 2501-к",mioqueequ@langoo.com,9121218096,внебюджет,168,Выпустился,5
"Большаков Николай Михаилович","от 30.2.2016 № 2501-к",shouco@xaker.ru,9244256951,внебюджет,180,Зачислен,1
"Гущина Фёкла Геннадьевна","от 29.5.2016 № 2500-к",beschje@softhome.com,9509772790,бюджет,249,Отчислен,2
"Кузьмин Константин Еремеевич","от 10.8.2017 № 2538-к",fjequiatia@newmail.ru,9275208351,бюджет,156,Отчислен,2
"Боброва Надежда Протасьевна","от 11.10.2016 № 2500-к",qujudez@max.ru,9645827355,бюджет,226,Отчислен,3
"Логинов Евсей Леонидович","от 6.4.2016 № 2701-к",ryaluque@netaddress.com,9080580868,внебюджет,156,Выпустился,5
"Пестов Артём Михаилович","от 18.12.2017 № 2701-к",horjudie@mail.ru,9002546886,бюджет,197,Отчислен,2
"Матвеева Таисия Васильевна","от 17.6.2017 № 2501-к",chiedier@adelite.com,9687834552,бюджет,191,Отчислен,3
"Лаврентьев Митрофан Куприянович","от 6.5.2016 № 2500-к",vjecem@infobiz.com,9648267363,внебюджет,172,Зачислен,1
"Казаков Альберт Денисович","от 4.5.2017 № 2701-к",zhjasjufie@adelite.com,9178736018,внебюджет,239,Отчислен,3
"Матвеева Марина Филатовна","от 27.12.2017 № 2501-к",chythyo@aol.com,9250454371,внебюджет,155,Выпустился,5
"Королёв Владлен Пётрович","от 28.1.2016 № 2701-к",feehiehjosh@rol.ru,9883810913,внебюджет,193,Отчислен,4
"Сазонов Борис Борисович","от 24.7.2016 № 2701-к",ryl@rambler.ru,9284676732,бюджет,189,Выпустился,5
"Герасимов Бронислав Христофорович","от 27.6.2016 № 2701-к",rjocyn@rumail.ru,9182148939,бюджет,189,Переведён,2
"Муравьёв Никита Валерьянович","от 14.6.2016 № 2701-к",shur@xaker.ru,9384213477,бюджет,212,Отчислен,4
"Рыбакова Элеонора Фроловна","от 18.10.2016 № 2500-к",noop@langoo.com,9270233362,бюджет,227,Отчислен,2
"Зайцева Тамара Донатовна","от 11.6.2016 № 2701-к",hyijjuze@infobiz.com,9157524145,бюджет,217,Переведён,3
"Молчанов Денис Созонович","от 14.4.2017 № 2701-к",syafy@mnogo.ru,9211148549,внебюджет,168,Зачислен,1
"Лыткин Альвиан Мартынович","от 24.4.2016 № 2701-к",thioryor@mnogo.ru,9111331792,бюджет,156,Выпустился,5
"Некрасов Олег Антонович","от 30.4.2017 № 2501-к",vyathonich@hotbox.com,9375540175,бюджет,163,Выпустился,5
"Путина Галина Григорьевна","от 12.12.2016 № 2701-к",buf_1998@visto.com,9897742067,бюджет,248,Зачислен,1
"Лихачёва Нина Ярославовна","от 10.2.2017 № 2500-к",rougjox@rumail.ru,9193069431,бюджет,216,Переведён,2
"Харитонова Екатерина Иринеевна","от 4.5.2016 № 2701-к",quierios@max.ru,9284275883,бюджет,201,Выпустился,5
"Якушева Полина Альбертовна","от 4.7.2016 № 2701-к",queth@netman.ru,9200019770,внебюджет,229,Выпустился,5
"Устинова Алевтина Филатовна","от 22.6.2017 № 2500-к",ciovy@rin.ru,9500008628,бюджет,167,Зачислен,1
"Попов Антон Геннадьевич","от 30.1.2017 № 2500-к",deegjo@yahoo.com,9059013394,внебюджет,242,Переведён,2
"Субботин Валерий Онисимович","от 3.4.2017 № 2501-к",fyujiat@orc.ru,9258626746,внебюджет,157,Зачислен,1
"Власова Милица Дамировна","от 14.11.2017 № 2500-к",cypiecheep@infobiz.com,9273797565,внебюджет,156,Отчислен,2
"Николаева Майя Фёдоровна","от 27.11.2016 № 2701-к",chaemio@nettaxi.com,9221393597,бюджет,162,Переведён,4
"Доронин Мэлор Онисимович","от 27.7.2016 № 2500-к",diujy@pop3.ru,9142937996,бюджет,166,Отчислен,4
"Смирнов Михаил Степанович","от 26.4.2017 № 2501-к",hyeschae@mail.ru,9638146117,внебюджет,161,Зачислен,1
"Маслов Игорь Артёмович","от 6.12.2016 № 2501-к",giaschyu@sexnarod.ru,9110686080,бюджет,227,Переведён,4
"Маслова Татьяна Геласьевна","от 15.2.2016 № 2538-к",scheezy@nettaxi.com,9296811277,внебюджет,227,Отчислен,3
"Колобова Любовь Мстиславовна","от 12.12.2017 № 2500-к",jon@nettaxi.com,9135135196,бюджет,154,Зачислен,1
"Лебедева Алла Николаевна","от 26.4.2016 № 2538-к",neshun@usa.net,9300057377,бюджет,212,Переведён,3
"Колобова Анна Валентиновна","от 21.1.2017 № 2538-к",njachy@chat.ru,9176509298,внебюджет,232,Выпустился,5
"Боброва Акулина Пётровна","от 7.11.2016 № 2500-к",tjepjajiesh@netaddress.com,9522886033,внебюджет,189,Переведён,3
"Соколова Юлия Агафоновна","от 21.1.2017 № 2701-к",cyoquexael@smtp.ru,9220255460,внебюджет,225,Зачислен,1
"Котов Дмитрий Вячеславович","от 7.11.2017 № 2501-к",zhugiek@umr.ru,9528581137,внебюджет,175,Зачислен,1
"Марков Василий Аристархович","от 9.11.2017 № 2701-к",thepae@aol.com,9308105999,бюджет,175,Отчислен,4
"Зайцев Владимир Эдуардович","от 18.9.2016 № 2500-к",soofiazoo@visto.com,9875188762,внебюджет,244,Зачислен,1
"Буров Иван Михаилович","от 7.5.2016 № 2701-к",diurihje@infobiz.com,9802692674,внебюджет,168,Зачислен,1
"Фёдорова Фаина Алексеевна","от 27.5.2016 № 2538-к",zhyinoud@email.ru,9258555444,бюджет,166,Зачислен,1
"Аксёнова Прасковья Геласьевна","от 18.11.2016 № 2538-к",vjub@land.ru,9171056404,внебюджет,196,Переведён,4
"Белова Таисия Глебовна","от 19.3.2016 № 2538-к",shyad@langoo.com,9263938566,бюджет,186,Отчислен,2
"Корнилова Октябрина Донатовна","от 28.1.2017 № 2501-к",nyahyisch@max.ru,9264926037,бюджет,237,Выпустился,5
"Козлов Геласий Егорович","от 28.10.2017 № 2538-к",leeschiosh@nettaxi.com,9879722248,бюджет,187,Отчислен,2
"Евсеев Глеб Филатович","от 5.1.2017 № 2538-к",gaehie@nettaxi.com,9228203273,внебюджет,225,Выпустился,5
"Якушева Анжелика Леонидовна","от 30.4.2017 № 2538-к",vjoce_1985@netman.ru,9248470363,бюджет,239,Отчислен,4
"Королёва Татьяна Богдановна","от 8.2.2016 № 2701-к",gjapy@visto.com,9192489608,внебюджет,176,Зачислен,1
"Марков Авксентий Пётрович","от 26.3.2017 № 2701-к",schyijooquyi@land.ru,9222609261,внебюджет,165,Зачислен,1
"Дорофеева София Пётровна","от 20.4.2017 № 2501-к",njuniuch@netaddress.com,9204637040,внебюджет,250,Выпустился,5
"Субботин Александр Богданович","от 4.7.2017 № 2538-к",schjuzhjopya@exn.ru,9601385700,внебюджет,249,Отчислен,2
"Соколов Святослав Ильяович","от 10.5.2017 № 2701-к",siunyiceem@xaker.ru,9254491181,внебюджет,220,Зачислен,1
"Шестаков Ярослав Филатович","от 30.5.2017 № 2538-к",thyecjagjer@newmail.ru,9377210783,внебюджет,166,Зачислен,1
"Владимиров Мстислав Васильевич","от 26.8.2017 № 2701-к",giuqujish@lycos.com,9143680552,бюджет,245,Отчислен,4
"Герасимов Онисим Тихонович","от 16.10.2016 № 2500-к",jyezofjeth@rin.ru,9630512338,внебюджет,233,Переведён,4
"Нестеров Гордей Игнатьевич","от 22.12.2016 № 2501-к",sjudyas@mail.ru,9107804426,внебюджет,208,Выпустился,5
"Савин Аристарх Лаврентьевич","от 3.3.2017 № 2701-к",schyethoulya@softhome.com,9099747194,бюджет,174,Зачислен,1
"Герасимов Евгений Якунович","от 18.7.2016 № 2500-к",schiathjom@land.ru,9532163740,бюджет,183,Отчислен,3
"Ефимова Агата Дмитрьевна","от 9.9.2016 № 2701-к",tooschjipesh@newmail.ru,9247214662,внебюджет,246,Отчислен,4
"Ковалёва Надежда Семёновна","от 21.1.2017 № 2501-к",liolaeb@nihuja.net,9242827006,бюджет,189,Выпустился,5
"Доронина Лора Владиславовна","от 29.12.2016 № 2701-к",hootyudio@softhome.com,9023507820,бюджет,152,Отчислен,4
"Голубева Майя Борисовна","от 21.2.2017 № 2500-к",kijoupu@chat.ru,9009120673,внебюджет,157,Переведён,4
"Кириллов Геласий Богданович","от 19.5.2016 № 2538-к",diotjithio@chat.ru,9379933136,бюджет,156,Выпустился,5
"Михеева Полина Ярославовна","от 8.3.2016 № 2701-к",lyajjehyup@netaddress.com,9603655705,внебюджет,183,Зачислен,1
"Фадеев Борис Созонович","от 20.5.2017 № 2500-к",riosh@rumail.ru,9203819288,внебюджет,191,Переведён,4
"Калашникова Ия Еремеевна","от 3.7.2017 № 2701-к",shyzouque@yahoo.com,9106977729,внебюджет,180,Переведён,4
"Алексеев Матвей Ярославович","от 12.11.2016 № 2501-к",myebir@netaddress.com,9123886588,бюджет,232,Зачислен,1
"Гурьев Якун Мэлорович","от 6.5.2017 № 2701-к",sjed@umr.ru,9533804871,бюджет,165,Переведён,4
"Терентьева Полина Мэлсовна","от 6.1.2017 № 2538-к",sediuljo@hob.ru,9539393674,внебюджет,245,Переведён,2
"Романов Альберт Ярославович","от 21.8.2016 № 2500-к",liudouschjisch@inbox.ru,9504521473,бюджет,230,Переведён,4
"Матвиенко Светлана Варламовна","от 23.12.2016 № 2501-к",kiemoutio@inbox.ru,9515841126,внебюджет,201,Зачислен,1
"Дмитриев Павел Игнатьевич","от 20.9.2016 № 2701-к",shunaep@nettaxi.com,9196276639,внебюджет,177,Отчислен,2
"Воронова Алла Антониновна","от 17.1.2016 № 2538-к",hjogik@hob.ru,9168236069,внебюджет,171,Выпустился,5
"Кулагин Варлам Егорович","от 29.5.2016 № 2701-к",fooxie@visto.com,9378365003,бюджет,171,Отчислен,2
"Носкова Пелагея Сергеевна","от 21.1.2016 № 2501-к",kit@hotbox.com,9817974002,бюджет,198,Выпустился,5
"Мартынов Якун Валерьевич","от 8.6.2016 № 2500-к",gytaepjil@softhome.com,9831581714,бюджет,193,Отчислен,3
"Меркушева Евгения Павловна","от 8.2.2017 № 2538-к",jjegji@infobiz.com,9155717484,внебюджет,196,Переведён,4
"Меркушев Ростислав Сергеевич","от 15.5.2016 № 2538-к",soomjibae@netaddress.com,9251067309,внебюджет,220,Зачислен,1
"Прохоров Всеволод Германнович","от 5.7.2017 № 2701-к",zouhioc@hotbox.com,9195528496,внебюджет,196,Переведён,3
"Громов Лукьян Созонович","от 4.11.2017 № 2538-к",nyoxaesch@adelite.com,9649794631,внебюджет,237,Отчислен,4
"Денисов Лукьян Валентинович","от 7.6.2016 № 2501-к",kyeche@rambler.ru,9505387488,внебюджет,150,Выпустился,5
"Моисеева Анжела Митрофановна","от 11.10.2017 № 2538-к",rieciochu@softhome.com,9295279714,бюджет,250,Зачислен,1
"Киселёв Бронислав Никитевич","от 17.6.2016 № 2538-к",schuzee@rumail.ru,9295011998,внебюджет,202,Переведён,4
"Фролова Ираида Владимировна","от 24.11.2017 № 2701-к",shyziu@list.ru,9854519667,внебюджет,179,Отчислен,3
"Рогов Пантелеймон Макарович","от 2.4.2017 № 2538-к",louries@rambler.ru,9198504100,внебюджет,212,Отчислен,3
"Артемьева Пелагея Лукьевна","от 27.4.2016 № 2538-к",quiuniudia@aol.com,9874825218,бюджет,150,Выпустился,5
"Селиверстова Оксана Пантелеймоновна","от 2.1.2016 № 2500-к",dibecjuh@newmail.ru,9135561541,бюджет,245,Переведён,3
"Путина Наталья Максимовна","от 3.6.2017 № 2501-к",chyshiabef@nextmail.ru,9870691775,внебюджет,157,Переведён,4
"Кузьмин Эдуард Валерьянович","от 21.9.2016 № 2501-к",ljepoolju@rambler.ru,9121573406,внебюджет,187,Переведён,2
"Громова Олимпиада Сергеевна","от 13.11.2017 № 2501-к",niufjaxaer@rambler.ru,9825640374,внебюджет,171,Выпустился,5
"Никитин Егор Ростиславович","от 24.2.2017 № 2500-к",zeliehju@list.ru,9500533261,бюджет,234,Зачислен,1
"Родионова Нинель Степановна","от 7.6.2016 № 2500-к",riesiakjequ@nihuja.net,9530937848,внебюджет,210,Отчислен,4
"Фёдорова Элеонора Дамировна","от 3.12.2017 № 2500-к",peemji@yahoo.com,9873820637,бюджет,156,Отчислен,2
"Вишняков Даниил Лукьевич","от 25.7.2016 № 2500-к",hjec@nihuja.net,9519540685,бюджет,236,Отчислен,3
"Богданова Таисия Евгеньевна","от 30.9.2017 № 2500-к",sheefjel@max.ru,9235565207,внебюджет,156,Переведён,2
"Игнатова Виктория Руслановна","от 6.12.2016 № 2500-к",mjuljoth@xaker.ru,9650368003,внебюджет,221,Выпустился,5
"Никифорова Антонина Антониновна","от 15.1.2017 № 2501-к",xjilie@land.ru,9190344677,внебюджет,219,Отчислен,4
"Павлова Анжелика Демьяновна","от 29.11.2016 № 2701-к",fyefae@rin.ru,9680067176,бюджет,240,Выпустился,5
"Зимина Анна Григорьевна","от 19.3.2016 № 2538-к",fegoo@langoo.com,9631872501,бюджет,198,Выпустился,5
"Русаков Авдей Олегович","от 6.5.2016 № 2538-к",vjofya@langoo.com,9033433673,внебюджет,167,Выпустился,5
"Колобов Даниил Денисович","от 18.12.2016 № 2501-к",hosiofjos@infobiz.com,9055447647,бюджет,155,Переведён,2
"Гурьева Валерия Пантелеймоновна","от 30.11.2016 № 2501-к",quiepih@netman.ru,9324134062,внебюджет,165,Переведён,3
"Капустина Зинаида Артёмовна","от 3.7.2017 № 2701-к",fjuthoufiab@netaddress.com,9825062012,бюджет,210,Выпустился,5
"Сергеев Яков Серапионович","от 22.4.2017 № 2500-к",leefiutyok@xaker.ru,9039637026,бюджет,193,Зачислен,1
"Моисеева Анжела Валерьевна","от 23.11.2017 № 2701-к",byochjacho@netaddress.com,9910084057,внебюджет,198,Отчислен,2
"Павлов Леонид Геннадьевич","от 14.9.2017 № 2538-к",chioveep@usa.net,9650633738,внебюджет,244,Переведён,3
"Гордеева Антонина Демьяновна","от 4.11.2017 № 2500-к",chychyaz@narod.ru,9251980666,бюджет,247,Переведён,3
"Медведьева Евдокия Ефимовна","от 27.5.2016 № 2500-к",sounjoch@yahoo.com,9025124741,внебюджет,168,Переведён,4
"Гаврилов Олег Куприянович","от 20.5.2016 № 2500-к",voosae@narod.ru,9033478241,внебюджет,212,Отчислен,3
"Константинов Лукий Авдеевич","от 27.1.2017 № 2538-к",pyf@hotbox.ru,9638102563,бюджет,217,Выпустился,5
"Потапов Игнатий Мэлорович","от 22.11.2017 № 2701-к",viefaesh@rambler.ru,9144095550,внебюджет,151,Переведён,3
"Меркушев Агафон Романович","от 15.2.2016 № 2500-к",thizeerye@rumail.ru,9163979103,внебюджет,237,Зачислен,1
"Терентьева Ангелина Юрьевна","от 3.3.2017 № 2538-к",kuzjo@aol.com,9967457259,бюджет,190,Отчислен,2
"Бобылёва Ангелина Юлиановна","от 18.1.2017 № 2500-к",xooschio@mnogo.ru,9322518264,бюджет,168,Переведён,3
"Молчанов Демьян Сергеевич","от 16.6.2017 № 2501-к",shyejel@visto.com,9110175414,внебюджет,196,Переведён,2
"Субботин Ириней Романович","от 17.10.2016 № 2501-к",deezhia@mail.ru,9263176301,внебюджет,204,Отчислен,4
"Калинин Всеволод Тихонович","от 10.8.2017 № 2500-к",thyegeech@rumail.ru,9520559162,внебюджет,186,Зачислен,1
"Кулаков Владлен Сергеевич","от 18.2.2017 № 2701-к",fykier@netman.ru,9661398229,бюджет,162,Отчислен,3
"Рябова Агафья Степановна","от 22.9.2016 № 2701-к",goschya@pop3.ru,9852836998,внебюджет,200,Выпустился,5
"Вишняков Олег Максимович","от 25.7.2016 № 2538-к",chjugek@exn.ru,9625981806,внебюджет,180,Переведён,4
"Бирюкова Тамара Георгьевна","от 12.2.2017 № 2501-к",kjegjazhou@netaddress.com,9875724433,бюджет,224,Выпустился,5
"Галкина Светлана Святославовна","от 22.1.2016 № 2538-к",viete@netman.ru,9034557352,внебюджет,216,Переведён,2
"Никифорова Валерия Тихоновна","от 30.9.2017 № 2538-к",shazjo@max.ru,9531969916,внебюджет,199,Выпустился,5
"Матвеев Якун Христофорович","от 9.1.2017 № 2538-к",jouquyimoo@rambler.ru,9288854998,бюджет,182,Выпустился,5
"Фролов Игнатий Лукьевич","от 20.12.2016 № 2701-к",xjechach@adelite.com,9633854192,внебюджет,201,Отчислен,2
"Максимов Даниил Георгьевич","от 9.6.2016 № 2500-к",xjujou@usa.net,9050971220,бюджет,179,Переведён,3
"Петров Христофор Эдуардович","от 15.5.2016 № 2701-к",kjenuljik@rin.ru,9091319554,внебюджет,176,Зачислен,1
"Лихачёв Дмитрий Кимович","от 10.1.2016 № 2500-к",setyeg@newmail.ru,9135038375,бюджет,220,Переведён,3
"Русаков Серапион Куприянович","от 7.7.2017 № 2501-к",kizae@langoo.com,9241864780,бюджет,241,Выпустился,5
"Шаров Егор Демьянович","от 8.2.2016 № 2701-к",quyquye@list.ru,9295885641,бюджет,181,Переведён,4
"Аксёнов Борис Святославович","от 4.2.2017 № 2501-к",qujidyav@xaker.ru,9124504050,внебюджет,204,Переведён,4
"Фадеева Ангелина Борисовна","от 24.5.2016 № 2538-к",shyikiohuf@nihuja.net,9044786551,бюджет,240,Выпустился,5
"Игнатьева Синклитикия Витальевна","от 5.9.2016 № 2538-к",reedaeh@rin.ru,9105184109,бюджет,188,Переведён,4
"Савельев Дамир Викторович","от 22.6.2017 № 2538-к",quoohaed@infobiz.com,9272175363,внебюджет,181,Переведён,3
"Колесников Семён Яковович","от 23.11.2016 № 2501-к",cjojjis@narod.ru,9506796020,внебюджет,224,Зачислен,1
"Матвиенко Евпраксия Матвеевна","от 25.8.2016 № 2501-к",jyxyizh@langoo.com,9172862916,внебюджет,176,Отчислен,2
"Ширяева Иванна Лукьевна","от 2.3.2016 № 2500-к",dougjo@hotbox.ru,9894878515,бюджет,153,Выпустился,5
"Калинина Вера Владиславовна","от 8.1.2016 № 2538-к",ryif@usa.net,9625267733,внебюджет,158,Выпустился,5
"Щукина Алина Брониславовна","от 30.8.2016 № 2500-к",quous@visto.com,9624710627,бюджет,219,Зачислен,1
"Аксёнов Николай Фёдорович","от 29.5.2016 № 2701-к",bjakach@infobiz.com,9280760646,бюджет,171,Переведён,4
"Щукина Любовь Денисовна","от 22.12.2016 № 2501-к",xoomyahyo@pop3.ru,9832419025,внебюджет,176,Отчислен,4
"Юдина Акулина Еремеевна","от 12.6.2017 № 2538-к",lethia@umr.ru,9373044197,бюджет,189,Отчислен,4
"Шарапов Вячеслав Степанович","от 22.2.2016 № 2538-к",chyzhjajyo@softhome.com,9251481110,бюджет,181,Отчислен,2
"Комарова Анжела Ильяовна","от 15.11.2017 № 2501-к",teesu@netaddress.com,9652664197,бюджет,155,Зачислен,1
"Фомин Авксентий Демьянович","от 5.2.2017 № 2500-к",diechou@max.ru,9296592042,внебюджет,182,Зачислен,1
"Шестаков Авксентий Куприянович","от 25.4.2016 № 2701-к",tyashylja@chat.ru,9068492705,внебюджет,247,Отчислен,4
"Сергеев Матвей Пётрович","от 25.12.2016 № 2501-к",fjatocie@umr.ru,9533884161,внебюджет,159,Выпустился,5
"Елисеева Валерия Улебовна","от 22.7.2016 № 2501-к",gjoda@umr.ru,9216499348,внебюджет,210,Выпустился,5
"Рожков Федосей Фролович","от 11.8.2016 № 2701-к",ziajja_1991@sexnarod.ru,9003450412,бюджет,238,Зачислен,1
"Михайлова Раиса Пётровна","от 26.2.2017 № 2501-к",fjerji@umr.ru,9151700683,внебюджет,241,Отчислен,3
"Турова Ирина Павловна","от 2.9.2016 № 2701-к",fjiqujekjuc@mail.ru,9377191940,внебюджет,200,Зачислен,1
"Тихонов Парфений Авксентьевич","от 26.6.2016 № 2501-к",miesche@mail.ru,9824502434,бюджет,234,Переведён,2
"Самсонов Евгений Митрофанович","от 22.7.2016 № 2701-к",theejjicyoc@mnogo.ru,9252815801,внебюджет,186,Зачислен,1
"Фадеев Матвей Олегович","от 27.10.2017 № 2500-к",syitoog@land.ru,9851863765,бюджет,190,Зачислен,1
"Калинина Елизавета Борисовна","от 20.1.2017 № 2500-к",gequicjo@rol.ru,9244829009,бюджет,203,Зачислен,1
"Рогов Богдан Мартынович","от 15.3.2016 № 2538-к",schegjo@rol.ru,9040258718,внебюджет,173,Зачислен,1
"Дмитриев Богдан Дмитрьевич","от 2.11.2016 № 2701-к",vyivyg@orc.ru,9275164568,внебюджет,222,Отчислен,4
"Зайцева Евдокия Иринеевна","от 11.5.2016 № 2500-к",haeliobiu@softhome.com,9199162461,внебюджет,154,Отчислен,3
"Колобова Алла Егоровна","от 22.9.2016 № 2501-к",gyozjoschye@umr.ru,9397501217,бюджет,205,Зачислен,1
"Самойлова Евгения Созоновна","от 28.9.2016 № 2701-к",choudousje@nihuja.net,9267329305,внебюджет,166,Переведён,3
"Евдокимова Глафира Авксентьевна","от 23.12.2016 № 2538-к",quyibianjac@yandex.ru,9376674560,внебюджет,180,Отчислен,4
"Кулагин Бронислав Федосеевич","от 7.5.2017 № 2701-к",secholae@netbox.com,9501609044,бюджет,197,Отчислен,4
